gene_symbol,log2FC,pvalue,padj
Oas1a,2.379999999999999,0.0003264413132281729,0.04406361833875512
Fabp3,-0.9949999999999992,0.00032811298065258613,0.04406361833875512
Slc2a6,3.285,0.00033575191427703984,0.04406361833875512
Plek,1.9849999999999994,0.0003361056861918594,0.04406361833875512
Dhx58,2.3100000000000005,0.00033715442630581253,0.04406361833875512
Nars,0.8149999999999995,0.0003385686168704181,0.04406361833875512
Sp140,0.8150000000000004,0.00033856861687045736,0.04406361833875512
Pxn,-0.379999999999999,0.00034608064715289005,0.04441333520544327
Slpi,3.24,0.00034751728519696905,0.04441333520544327
Phf21a,-0.75,0.0003553660382292114,0.044947825100210656
Nfkb1,1.5850000000000009,0.0003679962728232328,0.044947825100210656
Slc4a5,-2.3949999999999996,0.00037025986977199976,0.044947825100210656
Gatm,-1.295,0.00037247555990188195,0.044947825100210656
Pi16,-1.549999999999999,0.00037439941408376227,0.044947825100210656
Atp13a1,0.8100000000000023,0.00038082182728328294,0.044947825100210656
Sorbs3,-0.2550000000000008,0.00038424593157282535,0.044947825100210656
Acp2,1.1400000000000006,0.0003845118764061251,0.044947825100210656
Rnaset2,0.35999999999999943,0.0003855793472816601,0.044947825100210656
Rab32,0.8000000000000007,0.00039039626707386535,0.044947825100210656
Ulk1,-1.2800000000000002,0.00039649258135028077,0.044947825100210656
Itga6,-2.51,0.0003965830561194038,0.044947825100210656
Stx3,1.120000000000001,0.00039835877770797264,0.044947825100210656
Pno1,0.5,0.0003997601598880636,0.044947825100210656
Nup62,0.7000000000000011,0.00040791353930527956,0.044947825100210656
Ifitm2,-0.7799999999999976,0.0004106607704690522,0.044947825100210656
Ophn1,-1.0999999999999996,0.00041296718672073325,0.044947825100210656
Sfrp2,2.8000000000000007,0.0004142832281558024,0.044947825100210656
Prdx3,0.9800000000000004,0.0004162331085625275,0.044947825100210656
Tmem256,0.24499999999999922,0.0004162331085625306,0.044947825100210656
